Data from Bam 2023 Isotope Hydrology Studies in Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Slope Analysis,,,,,,,,,,,Intercept Analysis,,,,,,,,,
Study,Location,slope,SE(Slope),intercept,SE(Intercept),n,R2,,w,T,w*T,w*T^2,w^2,w/w.,,wR,wR*T,wR/wR.,,w,T,w*T,w*T^2,w^2,w/w.,,wR,wR*T,wR/wR.
Aheampong and Hess 2000,Afram Plains ER,7.024921466,0.496972838,4.304125654,2.48498843,8,0.97,,4.049,7.025,28.443,199.81,16.393,0.002,,3.199,22.47,0.024,,0.162,4.304,0.697,3,0.026,0.001,,0.087,0.376,0.029
GAEC report,Densu Basin ER,6.397570231,0.377540421,8.63411513,1.038591198,14,0.96,,7.016,6.398,44.884,287.146,49.221,0.003,,4.803,30.729,0.035,,0.927,8.634,8.004,69.111,0.859,0.005,,0.157,1.358,0.052
Freitaga et al 2008,Axim,5.78760594,0.358544493,3.759578051,0.992699998,30,0.9,,7.779,5.788,45.021,260.562,60.51,0.004,,5.149,29.801,0.038,,1.015,3.76,3.815,14.343,1.03,0.006,,0.16,0.6,0.053
Freitaga et al 2008,Ejura,7.697400875,0.384097884,5.584400748,1.368268479,39,0.92,,6.778,7.697,52.175,401.61,45.944,0.003,,4.691,36.106,0.035,,0.534,5.584,2.983,16.658,0.285,0.003,,0.14,0.781,0.046
Freitaga et al 2008,Tamale,8.0355285,0.408990182,7.928564102,1.627092279,30,0.93,,5.978,8.036,48.038,386.014,35.739,0.003,,4.293,34.498,0.032,,0.378,7.929,2.995,23.745,0.143,0.002,,0.126,1,0.042
"Afrifa goerge Yamoah, 2013",GUSHIEGU AND SURROUNDING AREAS,7.474410921,0.793469147,5.473688361,6.774486899,12,0.9,,1.588,7.474,11.872,88.735,2.523,0.001,,1.438,10.751,0.011,,0.022,5.474,0.119,0.653,0,0,,0.02,0.107,0.006
"Kretchy, 2013",Amdedzofe,7.116736782,0.333602414,7.115151,1.152365241,51,0.9,,8.985,7.117,63.947,455.096,80.739,0.004,,5.651,40.22,0.042,,0.753,7.115,5.358,38.123,0.567,0.004,,0.151,1.077,0.05
"Kretchy, 2013",Akatsi,7.09167377,0.372358193,7.472422377,0.846691819,24,0.94,,7.212,7.092,51.148,362.723,52.018,0.003,,4.895,34.711,0.036,,1.395,7.472,10.423,77.888,1.946,0.008,,0.167,1.246,0.055
"Kretchy, 2013",Kpando,7.450612144,0.292005309,10.32368113,0.941729704,34,0.95,,11.728,7.451,87.38,651.032,137.543,0.005,,6.626,49.367,0.049,,1.128,10.324,11.641,120.176,1.271,0.006,,0.162,1.675,0.054
"Ganyaglo et al, 2015",Saltpond,6.486435014,0.304529499,5.453963819,0.662778565,56,0.89,,10.783,6.486,69.943,453.684,116.274,0.005,,6.313,40.951,0.047,,2.276,5.454,12.416,67.715,5.182,0.013,,0.175,0.954,0.058
"Ganyaglo et al, 2015",Twifo Praso,6.862570508,0.320969067,3.840855217,0.567258505,77,0.85,,9.707,6.863,66.613,457.138,94.221,0.004,,5.928,40.685,0.044,,3.108,3.841,11.936,45.845,9.658,0.018,,0.179,0.686,0.059
"Fynn, et al., 2015",Nabogo,7.28267587,0.293011431,4.770302097,2.138950498,24,0.96,,11.647,7.283,84.825,617.75,135.663,0.005,,6.6,48.067,0.049,,0.219,4.77,1.043,4.974,0.048,0.001,,0.101,0.484,0.034
"Akiti, 1986",Bolgatanga,8.406638871,1.044462192,17.77515495,5.660364776,8,0.92,,0.917,8.407,7.706,64.783,0.84,0,,0.865,7.269,0.006,,0.031,17.775,0.555,9.861,0.001,0,,0.027,0.476,0.009
